,age,total_orders,total_net_sales,avg_order_value,total_interactions,avg_rating,total_tickets,avg_satisfaction
age,1.0,0.0504295821157817,0.058162537516875674,0.021412591641749586,-0.39905264491190656,0.0268439719441178,-0.09089852183606349,-0.0642239272125809
total_orders,0.0504295821157817,1.0,0.873615313926589,0.16142283488605794,-0.5578857219629623,0.2786221376120644,-0.04469064958476212,-0.04069586146140701
total_net_sales,0.058162537516875674,0.873615313926589,1.0,0.45937164868801833,-0.4937452561155515,0.2523849390281981,-0.022752743307089394,-0.021591386646125314
avg_order_value,0.021412591641749586,0.16142283488605794,0.45937164868801833,1.0,-0.1532004233699729,0.06644029584942138,0.0025007846516253277,-0.004692949934803314
total_interactions,-0.39905264491190656,-0.5578857219629623,-0.4937452561155515,-0.1532004233699729,1.0,-0.158368073806736,0.05311131524333874,0.050047065848137326
avg_rating,0.0268439719441178,0.2786221376120644,0.2523849390281981,0.06644029584942138,-0.158368073806736,1.0,-0.02764630963490726,-0.01991106063868707
total_tickets,-0.09089852183606349,-0.04469064958476212,-0.022752743307089394,0.0025007846516253277,0.05311131524333874,-0.02764630963490726,1.0,0.7828141920644537
avg_satisfaction,-0.0642239272125809,-0.04069586146140701,-0.021591386646125314,-0.004692949934803314,0.050047065848137326,-0.01991106063868707,0.7828141920644537,1.0
